### GO term enrichment for convergent genes in reproductive tract samples when mapped to different ref transcriptomes (see ms)
# GO.ID	= GO term ID
# GO_desc = GO term description	
# toTbi_GSEA = Gene set enrichment p-value when mapped to Timema bartmani
# toTte_GSEA = Gene set enrichment p-value when mapped to Timema tahoe	
# toTce_GSEA = Gene set enrichment p-value when mapped to Timema cristinae
# toTms_GSEA = Gene set enrichment p-value when mapped to Timema monikensis
# toTps_GSEA = Gene set enrichment p-value when mapped to Timema poppensis
# toTdi_GSEA = Gene set enrichment p-value when mapped to Timema douglasi
# toTcm_GSEA = Gene set enrichment p-value when mapped to Timema californicum
# toTsi_GSEA = Gene set enrichment p-value when mapped to Timema shepardi
# toTpa_GSEA = Gene set enrichment p-value when mapped to Timema podura
# toTge_GSEA = Gene set enrichment p-value when mapped to Timema genevievae
# median_GSEA = Median gene set enrichment p-value across species references
GO.ID	GO_desc	toTsi_GSEA	toTce_GSEA	toTbi_GSEA	toTps_GSEA	toTcm_GSEA	toTte_GSEA	toTdi_GSEA	toTms_GSEA	toTge_GSEA	toTpa_GSEA	median_GSEA
GO:0030723	ovarian fusome organization	0.12479	0.1103	0.06934	0.23531	0.1351	0.0634	0.41358	0.05257	0.5778	0.50261	0.129945
GO:0048518	positive regulation of biological process	0.89585	0.0555	0.23153	0.11643	0.59763	0.14392	0.25233	0.09351	0.1066	0.07684	0.130175
GO:0031348	negative regulation of defense response	0.47146	0.8409	0.09556	0.12634	0.81097	0.13403	0.01986	0.88509	0.1107	0.0146	0.130185
GO:1901991	negative regulation of mitotic cell cycle phase transition	0.1415	0.487	0.11019	0.14997	0.11914	0.02233	0.18361	0.28636	0.0082	0.01046	0.13032
GO:0016584	nucleosome positioning	0.01247	0.5953	0.29328	0.12869	0.07117	0.13217	0.13896	0.44054	0.0155	0.02913	0.13043
GO:0031124	mRNA 3'-end processing	0.22833	0.0985	0.07984	0.64943	0.28438	0.02551	0.60826	0.13652	0.1215	0.12456	0.13054
GO:0009966	regulation of signal transduction	0.12583	0.1354	0.03326	0.05171	0.1023	0.01977	0.14583	0.15474	0.2623	0.33073	0.130615
GO:0042337	cuticle development involved in chitin-based cuticle molting cycle	0.10599	0.3814	0.08748	0.16032	0.09948	0.12621	0.17939	0.26714	0.0427	0.13522	0.130715
GO:0050878	regulation of body fluid levels	0.17377	0.1237	0.08836	0.02696	0.15304	0.13832	0.16226	0.18145	0.0997	0.10724	0.13101
GO:0035063	nuclear speck organization	0.03727	0.1748	NA	0.21089	0.04805	NA	0.23163	0.21767	0.0879	0.07687	0.13135
GO:0048519	negative regulation of biological process	0.21586	0.1328	0.19409	0.05559	0.12999	0.63084	0.03507	0.02866	0.1597	0.05032	0.131395
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	0.22723	0.5433	0.05629	0.02333	0.26164	0.10562	0.05224	0.72283	0.1385	0.12458	0.13154
GO:0035042	"fertilization, exchange of chromosomal proteins"	0.12231	0.254	0.08859	0.15488	0.14069	0.09093	0.1826	0.32371	0.1226	0.09736	0.131645
GO:0055072	iron ion homeostasis	0.24954	0.0633	0.76864	0.07056	0.11001	0.39773	0.34278	0.04929	0.1462	0.11769	0.131945
GO:0001964	startle response	0.13152	0.1186	0.35529	0.0433	0.18712	0.22567	0.01884	0.27317	0.0394	0.13246	0.13199
GO:0007282	cystoblast division	0.12499	0.0626	0.2072	0.19129	0.13925	0.10253	0.62807	0.0647	0.0736	0.15517	0.13212
GO:0031056	regulation of histone modification	0.10169	0.7542	0.03834	0.1631	0.18921	0.0134	0.09791	0.86217	0.0542	0.39864	0.132395
GO:0007619	courtship behavior	0.01909	0.1486	0.15318	0.00936	0.05684	0.12262	0.01605	0.1426	0.4986	0.35514	0.13261
GO:0001705	ectoderm formation	NA	0.0752	0.32774	NA	NA	0.29854	NA	0.07246	0.1906	0.05188	0.1329
GO:0001712	ectodermal cell fate commitment	NA	0.0752	0.32774	NA	NA	0.29854	NA	0.07246	0.1906	0.05188	0.1329
GO:0010668	ectodermal cell differentiation	NA	0.0752	0.32774	NA	NA	0.29854	NA	0.07246	0.1906	0.05188	0.1329
GO:0006398	mRNA 3'-end processing by stem-loop binding and cleavage	0.71493	0.0275	0.13966	NA	0.6685	0.12651	NA	0.032	NA	NA	0.133085
GO:0008334	histone mRNA metabolic process	0.71493	0.0275	0.13966	NA	0.6685	0.12651	NA	0.032	NA	NA	0.133085
GO:0022414	reproductive process	0.12275	0.0279	0.21565	0.0467	0.17449	0.28242	0.14464	0.51195	0.0736	0.10312	0.133695
GO:0009161	ribonucleoside monophosphate metabolic process	0.10035	0.1648	0.17416	0.06791	0.11642	0.08374	0.70915	0.03196	0.2424	0.15153	0.133975
GO:0098662	inorganic cation transmembrane transport	0.09849	0.3815	0.415	0.16777	0.06326	0.3972	0.10063	0.37519	0.0428	0.0256	0.1342
GO:0032392	DNA geometric change	0.12661	NA	NA	NA	0.14293	NA	NA	NA	NA	NA	0.13477
GO:0032508	DNA duplex unwinding	0.12661	NA	NA	NA	0.14293	NA	NA	NA	NA	NA	0.13477
GO:0051641	cellular localization	0.05863	0.2354	0.16992	0.13671	0.22728	0.16793	0.05273	0.11526	0.1331	0.11289	0.134905
GO:0019725	cellular homeostasis	0.17314	0.2002	0.16165	0.4617	0.0456	0.03361	0.08862	0.30915	0.0789	0.10835	0.135
GO:2001252	positive regulation of chromosome organization	0.05706	0.7116	0.04514	0.14254	0.15487	0.01871	0.07075	0.7994	0.1278	0.68134	0.13517
GO:0022406	membrane docking	0.06167	0.1097	0.0892	0.47101	0.23288	0.16075	0.44654	0.19638	0.0902	0.08581	0.135225
GO:0035076	ecdysone receptor-mediated signaling pathway	0.13497	0.1497	0.13633	0.06175	0.34083	0.42376	0.05275	0.23343	0.0366	0.00796	0.13565
GO:0098609	cell-cell adhesion	0.14931	0.5012	0.11649	0.09998	0.18245	0.0494	0.12211	0.55014	0.0811	0.20119	0.13571
GO:0002440	production of molecular mediator of immune response	0.02188	0.2942	0.1651	0.3119	0.10634	0.20827	0.08838	0.37864	0.0241	0.02165	0.13572
GO:0002775	antimicrobial peptide production	0.02188	0.2942	0.1651	0.3119	0.10634	0.20827	0.08838	0.37864	0.0241	0.02165	0.13572
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	0.02188	0.2942	0.1651	0.3119	0.10634	0.20827	0.08838	0.37864	0.0241	0.02165	0.13572
GO:0043401	steroid hormone mediated signaling pathway	0.12745	0.0481	0.14406	0.16521	0.30905	0.38415	0.08973	0.08949	0.0245	0.39931	0.135755
GO:0048545	response to steroid hormone	0.12745	0.0481	0.14406	0.16521	0.30905	0.38415	0.08973	0.08949	0.0245	0.39931	0.135755
GO:0071383	cellular response to steroid hormone stimulus	0.12745	0.0481	0.14406	0.16521	0.30905	0.38415	0.08973	0.08949	0.0245	0.39931	0.135755
GO:0031062	positive regulation of histone methylation	0.13299	0.2109	0.13911	0.1142	0.11888	0.09563	0.17391	0.57021	0.2731	0.04259	0.13605
GO:0033036	macromolecule localization	0.03375	0.1293	0.57035	0.21085	0.10445	0.14297	0.35264	0.08362	0.1298	0.27668	0.136385
GO:0050771	negative regulation of axonogenesis	NA	NA	0.14452	NA	NA	0.12964	NA	NA	NA	NA	0.13708
GO:0007350	blastoderm segmentation	0.26116	0.1443	0.06197	0.20708	0.38479	0.12593	0.13024	0.21982	0.0696	0.04057	0.13727
GO:0030518	intracellular steroid hormone receptor signaling pathway	0.08811	0.1138	0.18994	0.10609	0.21019	0.45749	0.0917	0.16156	0.0366	1	0.13768
GO:0007167	enzyme linked receptor protein signaling pathway	0.06299	0.2182	0.07572	0.07943	0.12957	0.03274	0.18651	0.22717	0.2513	0.14665	0.13811
GO:0090114	COPII-coated vesicle budding	0.14406	0.2513	0.12604	0.13261	0.16075	0.08119	0.09123	0.31189	0.102	0.213	0.138335
GO:0010558	negative regulation of macromolecule biosynthetic process	0.16878	0.24	0.02979	0.21549	0.25654	0.03459	0.10807	0.08881	0.4795	0.05756	0.138425
GO:2000113	negative regulation of cellular macromolecule biosynthetic process	0.16878	0.24	0.02979	0.21549	0.25654	0.03459	0.10807	0.08881	0.4795	0.05756	0.138425
GO:0048079	regulation of cuticle pigmentation	0.05904	0.0823	0.05031	0.68106	0.22088	0.03926	0.75353	0.04465	0.1947	0.40115	0.1385
GO:0006376	mRNA splice site selection	0.14062	0.1063	0.26278	0.06375	0.13651	0.24517	0.05826	0.10125	0.2411	0.24357	0.138565
GO:0042438	melanin biosynthetic process	0.15482	0.0469	0.46965	0.20124	0.12333	0.39973	0.17781	0.03955	0.0991	0.03772	0.139075
GO:0002697	regulation of immune effector process	0.14745	0.4313	0.06749	0.28581	0.13104	0.04866	0.22788	0.38225	0.0052	0.00845	0.139245
GO:0032506	cytokinetic process	0.23737	0.0513	0.11333	0.66505	0.0721	0.16149	0.82385	0.16595	0.0387	0.11727	0.13938
GO:0045834	positive regulation of lipid metabolic process	0.13543	0.0654	0.14886	0.69733	0.1649	0.05311	0.5779	0.14343	0.007	0.01542	0.13943
GO:0040034	"regulation of development, heterochronic"	0.04261	0.0809	0.13502	0.44994	0.14627	0.14432	0.42525	0.10355	0.1685	0.07751	0.13967
GO:0043903	"regulation of symbiosis, encompassing mutualism through parasitism"	0.10596	0.371	0.13422	0.64901	0.03073	0.10698	0.71766	0.30675	0.1457	0.11074	0.13996
GO:1901654	response to ketone	0.04091	0.2728	0.04314	0.01648	0.1563	0.12472	0.29729	0.01053	0.243	0.43869	0.14051
GO:0046034	ATP metabolic process	0.14223	0.1949	0.18302	0.04622	0.10269	0.08809	0.77457	0.04255	0.2322	0.13882	0.140525
GO:0032879	regulation of localization	0.01683	0.0361	0.25946	0.18088	0.00891	0.01764	0.25227	0.10025	0.3295	0.41091	0.140565
GO:0007017	microtubule-based process	0.02929	0.4205	0.40416	0.12475	0.07448	0.0327	0.37123	0.15702	0.157	0.09968	0.140875
GO:0008037	cell recognition	0.05346	0.3166	0.11596	0.09057	0.16697	0.10487	0.27609	0.16986	0.0671	0.19502	0.141465
GO:0019953	sexual reproduction	0.19461	0.0169	0.23146	0.07102	0.24693	0.3399	0.06093	0.52539	0.0414	0.08886	0.141735
GO:0044703	multi-organism reproductive process	0.19461	0.0169	0.23146	0.07102	0.24693	0.3399	0.06093	0.52539	0.0414	0.08886	0.141735
GO:0043065	positive regulation of apoptotic process	0.04948	0.1446	0.16535	0.34064	0.03065	0.10892	0.34013	0.02071	0.1392	0.17949	0.1419
GO:0006109	regulation of carbohydrate metabolic process	0.03146	0.2073	0.07808	0.05222	0.08549	0.12673	0.24215	0.2472	0.1573	0.16234	0.142015
GO:0060856	establishment of blood-brain barrier	0.24406	0.2862	0.12308	0.14932	0.1349	0.10098	0.10348	0.335	0.1084	0.17073	0.14211
GO:0033674	positive regulation of kinase activity	0.12696	0.5614	0.08492	0.13285	0.09044	0.23053	0.15166	0.47956	0.3202	0.12571	0.142255
GO:0007029	endoplasmic reticulum organization	0.0581	0.0531	0.16034	0.15728	0.12329	0.27177	0.1275	0.02844	0.5193	0.56999	0.14239
GO:0031497	chromatin assembly	0.08877	0.5642	0.16869	0.21221	0.05146	0.12833	0.10681	0.67229	0.1565	0.09561	0.142415
GO:1902275	regulation of chromatin organization	0.08828	0.1349	0.00779	0.00879	0.31238	0.15001	0.01264	0.2782	0.3109	0.80708	0.142455
GO:0035019	somatic stem cell population maintenance	0.04787	0.1921	0.13471	0.11284	0.2918	0.15021	0.13451	0.41014	0.3178	0.12969	0.14246
GO:0007430	"terminal branching, open tracheal system"	0.10382	0.6178	0.18156	0.30807	0.0735	0.09427	0.22322	0.48074	0.0633	0.04325	0.14269
GO:0043085	positive regulation of catalytic activity	0.19016	0.3249	0.03957	0.05347	0.0528	0.12632	0.07051	0.16751	0.1598	0.20771	0.14306
GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	0.28486	0.5696	0.22741	0.12224	0.15655	0.08145	0.13087	0.41902	0.0181	0.06894	0.14371
GO:1902750	negative regulation of cell cycle G2/M phase transition	0.28486	0.5696	0.22741	0.12224	0.15655	0.08145	0.13087	0.41902	0.0181	0.06894	0.14371
GO:0023061	signal release	0.19351	0.0247	0.03439	0.18266	0.14621	0.14202	0.0606	0.05304	0.3684	0.4286	0.144115
GO:0051128	regulation of cellular component organization	0.04187	0.133	0.53285	0.10394	0.14888	0.32322	0.10188	0.1397	0.3392	0.30921	0.14429
GO:0019099	female germ-line sex determination	0.30476	0.0347	0.18119	0.12009	0.10352	0.16858	0.11582	0.09839	0.4325	0.26102	0.144335
GO:0031427	response to methotrexate	0.16669	0.0806	0.29434	0.22162	0.106	0.24832	0.0704	0.02862	0.1221	0.21559	0.144395
GO:0006415	translational termination	0.34211	0.0875	0.11668	0.01483	0.34201	0.12859	0.16329	0.14082	0.3045	0.14892	0.14487
GO:0032880	regulation of protein localization	0.0368	0.1729	0.07026	0.3243	0.01733	0.08068	0.49785	0.11701	0.2519	0.32644	0.144955
GO:0007349	cellularization	0.14267	0.0755	0.14809	0.10757	0.15707	0.26615	0.12306	0.16348	0.2732	0.11943	0.14538
GO:0035282	segmentation	0.18024	0.1449	0.10304	0.12523	0.27336	0.15402	0.16331	0.14602	0.0553	0.02461	0.14546
GO:0043412	macromolecule modification	0.07988	0.0937	0.08991	0.69949	0.15502	0.13638	0.78938	0.07635	0.1945	0.24051	0.1457
GO:1901988	negative regulation of cell cycle phase transition	0.1415	0.487	0.11019	0.14997	0.11914	0.02233	0.18361	0.28636	1	0.01046	0.145735
GO:0010378	temperature compensation of the circadian clock	0.3793	0.0059	NA	NA	0.24108	NA	NA	0.05041	NA	NA	0.145745
GO:0051347	positive regulation of transferase activity	0.16197	0.6569	0.05892	0.10926	0.08399	0.17023	0.12955	0.62182	0.2762	0.11259	0.14576
GO:0016441	posttranscriptional gene silencing	0.13834	0.3274	0.09331	0.41243	0.05272	0.05181	0.44877	0.73331	0.0857	0.15324	0.14579
GO:0035194	posttranscriptional gene silencing by RNA	0.13834	0.3274	0.09331	0.41243	0.05272	0.05181	0.44877	0.73331	0.0857	0.15324	0.14579
GO:0048137	spermatocyte division	0.03415	0.2736	0.01704	0.14471	0.04552	0.04239	0.19914	0.14694	0.2535	0.17737	0.145825
GO:0050714	positive regulation of protein secretion	0.3048	0.1547	0.02063	0.13215	0.13708	0.08249	0.07524	0.23885	0.316	0.21744	0.14589
GO:0009126	purine nucleoside monophosphate metabolic process	0.12117	0.2031	0.18374	0.06642	0.13395	0.09491	0.82364	0.04367	0.1762	0.15786	0.145905
GO:0009167	purine ribonucleoside monophosphate metabolic process	0.12117	0.2031	0.18374	0.06642	0.13395	0.09491	0.82364	0.04367	0.1762	0.15786	0.145905
GO:2000021	regulation of ion homeostasis	0.13528	0.0827	0.05016	0.3106	0.15752	0.01977	0.22382	0.0412	0.4227	0.46387	0.1464
GO:0060811	intracellular mRNA localization involved in anterior/posterior axis specification	0.62631	0.1476	0.14934	0.08188	0.31524	0.28196	0.05163	0.14533	0.0575	0.04331	0.146465
GO:0019722	calcium-mediated signaling	0.2373	0.0673	0.04996	0.14048	0.20796	0.03564	0.29986	0.15326	0.094	0.29736	0.14687
GO:0045213	neurotransmitter receptor metabolic process	0.14681	0.2937	0.3629	0.06501	0.1478	0.37461	0.06182	0.06891	0.1602	0.11486	0.147305
GO:0030717	karyosome formation	0.01768	0.4173	0.05249	0.11262	0.06574	0.06286	0.24992	0.18212	0.374	0.28252	0.14737
GO:0044702	single organism reproductive process	0.17553	0.0486	0.20958	0.02309	0.32919	0.33902	0.08683	0.49099	0.0982	0.12107	0.1483
GO:0048583	regulation of response to stimulus	0.04757	0.3041	0.10629	0.11396	0.1659	0.0203	0.34728	0.359	0.1316	0.27317	0.14875
GO:0048065	"male courtship behavior, veined wing extension"	0.13912	0.0709	0.15845	0.02583	0.15897	0.21595	0.13612	0.08784	0.5129	0.37453	0.148785
GO:0009952	anterior/posterior pattern specification	0.26741	0.1378	0.14476	0.05493	0.28543	0.24569	0.03538	0.153	0.1645	0.10531	0.14888
GO:0043966	histone H3 acetylation	0.0734	0.1941	0.39985	0.00185	0.08701	0.31732	0.00624	0.10994	0.2004	0.18811	0.149025
GO:0043112	receptor metabolic process	0.08329	0.3166	0.0831	0.15157	0.07882	0.29253	0.14708	0.30954	0.5518	0.06703	0.149325
GO:0016050	vesicle organization	0.43646	0.0273	0.01177	0.63539	0.30567	0.03505	0.69946	0.01351	0.0456	0.2534	0.1495
GO:0010256	endomembrane system organization	0.23251	0.0162	0.01241	0.27156	0.0662	0.07454	0.22467	0.02472	0.2765	0.55373	0.149605
GO:0032268	regulation of cellular protein metabolic process	0.31286	0.1635	0.12914	0.0499	0.13583	0.11644	0.06817	0.32419	0.2764	0.64477	0.149665
GO:0090383	phagosome acidification	0.04252	0.2555	0.06889	0.15381	0.03252	0.13656	0.14571	0.29553	0.5449	0.58807	0.14976
GO:0008608	attachment of spindle microtubules to kinetochore	0.15825	0.078	0.15259	0.09006	0.16344	0.15623	0.09477	0.07224	0.202	0.14821	0.1504
GO:0009895	negative regulation of catabolic process	0.52889	0.0549	0.03013	0.25566	0.01604	0.18793	0.13547	0.06379	0.2205	0.16736	0.151415
GO:0072595	maintenance of protein localization in organelle	NA	NA	0.15234	NA	NA	0.15064	NA	NA	NA	NA	0.15149
GO:0007040	lysosome organization	0.33776	0.1372	0.03208	0.12586	0.55721	0.06363	0.16601	0.06721	0.462	0.27984	0.151605
GO:0080171	lytic vacuole organization	0.33776	0.1372	0.03208	0.12586	0.55721	0.06363	0.16601	0.06721	0.462	0.27984	0.151605
GO:0070647	protein modification by small protein conjugation or removal	0.0838	0.268	0.0423	0.6826	0.07215	0.06647	0.59932	0.19669	0.3445	0.10776	0.152225
GO:0044262	cellular carbohydrate metabolic process	0.02678	0.2901	0.08115	0.08352	0.06886	0.09557	0.209	0.41402	0.2659	0.24523	0.152285
GO:0048477	oogenesis	0.22872	0.018	0.00953	0.14316	0.4228	0.00524	0.18798	0.01598	0.1624	0.32532	0.15278
GO:0051179	localization	0.19786	0.3189	0.75863	0.10242	0.38629	0.07493	0.08962	0.24665	0.0174	0.10805	0.152955
GO:0001510	RNA methylation	0.16413	0.1431	0.12748	0.20416	0.16685	0.12119	0.51058	0.218	0.094	0.09771	0.153615
GO:0051668	localization within membrane	0.07813	0.3853	0.18751	0.16349	0.09203	0.14466	0.166	0.24522	0.1144	0.13282	0.154075
GO:0008585	female gonad development	0.32159	0.1282	0.15957	0.05064	0.33725	0.14876	0.04593	0.09769	0.8161	0.80257	0.154165
GO:0046545	development of primary female sexual characteristics	0.32159	0.1282	0.15957	0.05064	0.33725	0.14876	0.04593	0.09769	0.8161	0.80257	0.154165
GO:0050792	regulation of viral process	0.02588	0.3346	0.18473	0.2802	0.01035	0.09602	0.31444	0.41994	0.1236	0.08622	0.154165
GO:0016071	mRNA metabolic process	0.15456	0.1764	0.25728	0.15267	0.15436	0.11253	0.24305	0.16413	0.0852	0.03153	0.15446
GO:0016320	endoplasmic reticulum membrane fusion	0.15661	0.1232	0.28941	0.01914	0.1534	0.26296	0.00761	0.03936	0.6551	0.66467	0.155005
GO:0048680	positive regulation of axon regeneration	0.21924	0.1416	NA	NA	0.14516	NA	NA	0.16552	NA	NA	0.15534
GO:0070572	positive regulation of neuron projection regeneration	0.21924	0.1416	NA	NA	0.14516	NA	NA	0.16552	NA	NA	0.15534
GO:0070278	extracellular matrix constituent secretion	NA	0.0076	0.2157	0.26991	NA	0.19491	0.24998	0.01207	0.116	0.09709	0.155455
GO:0040007	growth	0.14034	0.4284	0.1369	0.11078	0.08322	0.14343	0.21733	0.41819	0.1683	0.25749	0.155865
GO:0060260	regulation of transcription initiation from RNA polymerase II promoter	0.28391	0.0534	0.18189	0.26991	0.35976	0.13068	0.48226	0.10001	0.129	0.082	0.156285
GO:2000142	"regulation of DNA-templated transcription, initiation"	0.28391	0.0534	0.18189	0.26991	0.35976	0.13068	0.48226	0.10001	0.129	0.082	0.156285
GO:0097352	autophagosome maturation	0.25596	0.4866	0.05679	0.09475	0.21694	0.09593	0.07741	0.07418	0.5672	0.51769	0.156435
GO:0097576	vacuole fusion	0.25596	0.4866	0.05679	0.09475	0.21694	0.09593	0.07741	0.07418	0.5672	0.51769	0.156435
GO:0031887	lipid particle transport along microtubule	0.41787	0.1276	0.02256	0.2636	0.1855	0.04012	0.26235	0.191	0.1175	0.10381	0.15655
GO:0071840	cellular component organization or biogenesis	0.49724	0.1007	0.21268	0.02752	0.31397	0.39435	0.27946	0.01245	0.0135	0.04239	0.15669
GO:0048749	compound eye development	0.14989	0.0244	0.35626	0.09318	0.06975	0.32585	0.16487	0.06674	0.5697	0.79986	0.15738
GO:0090136	epithelial cell-cell adhesion	0.04989	0.1933	0.0867	0.12755	0.02864	0.0457	0.21176	0.29511	0.2473	0.18726	0.157405
GO:0000724	double-strand break repair via homologous recombination	0.00996	0.289	0.3193	0.03401	0.02637	0.14111	0.04788	0.34085	0.1739	0.46083	0.157505
GO:0035213	clypeo-labral disc development	0.17528	NA	0.15169	NA	0.27286	0.16356	NA	NA	0.1325	0.1375	0.157625
GO:0048728	proboscis development	0.17528	NA	0.15169	NA	0.27286	0.16356	NA	NA	0.1325	0.1375	0.157625
GO:0033206	meiotic cytokinesis	0.16269	0.107	0.0412	0.15321	0.20239	0.11317	0.62087	0.06821	0.3156	0.58945	0.15795
GO:1902850	microtubule cytoskeleton organization involved in mitosis	0.01402	0.1846	0.13132	0.49795	0.11597	0.11573	0.26617	0.02768	0.2578	0.18979	0.15796
GO:0007389	pattern specification process	0.24424	0.3621	0.05561	0.03458	0.37292	0.0296	0.10669	0.44446	0.1474	0.16899	0.158195
GO:0006072	glycerol-3-phosphate metabolic process	NA	NA	NA	NA	NA	NA	NA	NA	0.1478	0.16906	0.15843
GO:0052646	alditol phosphate metabolic process	NA	NA	NA	NA	NA	NA	NA	NA	0.1478	0.16906	0.15843
GO:0008586	imaginal disc-derived wing vein morphogenesis	0.12461	0.1946	0.16425	0.13484	0.2795	0.10662	0.06255	0.19707	0.2153	0.15376	0.159005
GO:0035152	"regulation of tube architecture, open tracheal system"	0.4428	0.0844	0.12861	0.16063	0.31689	0.06094	0.15745	0.13501	0.2601	0.21593	0.15904
GO:0009066	aspartate family amino acid metabolic process	0.16362	0.4546	0.70956	0.07288	0.14661	0.55865	0.05547	0.45988	0.0695	0.15504	0.15933
GO:0000375	"RNA splicing, via transesterification reactions"	0.11673	0.2561	0.31395	0.10366	0.25199	0.19626	0.123	0.20309	0.0911	0.0285	0.15963
GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	0.11673	0.2561	0.31395	0.10366	0.25199	0.19626	0.123	0.20309	0.0911	0.0285	0.15963
GO:0000398	"mRNA splicing, via spliceosome"	0.11673	0.2561	0.31395	0.10366	0.25199	0.19626	0.123	0.20309	0.0911	0.0285	0.15963
GO:0040013	negative regulation of locomotion	0.16934	0.4796	0.19748	0.1502	0.13729	0.05973	0.14014	0.39756	0.0783	0.18828	0.15977
GO:0007316	pole plasm RNA localization	0.45864	0.1731	0.147	0.03615	0.2765	0.21145	0.02288	0.17704	0.0255	0.04751	0.16005
GO:0000578	embryonic axis specification	0.3818	0.2353	0.10403	0.09383	0.44254	0.18929	0.04485	0.19865	0.131	0.12478	0.160145
GO:0061359	regulation of Wnt signaling pathway by Wnt protein secretion	0.3412	0.1339	0.10311	0.35301	0.40309	0.08441	0.39502	0.16131	0.159	0.08924	0.160155
GO:0009890	negative regulation of biosynthetic process	0.30643	0.2203	0.01824	0.28861	0.26488	0.01942	0.09569	0.10077	0.3188	0.0659	0.160535
GO:0031327	negative regulation of cellular biosynthetic process	0.30643	0.2203	0.01824	0.28861	0.26488	0.01942	0.09569	0.10077	0.3188	0.0659	0.160535
GO:0001173	DNA-templated transcriptional start site selection	0.22827	0.0948	0.18733	0.51668	0.16543	0.13427	0.46589	0.07603	0.1558	0.11162	0.160615
GO:0001174	transcriptional start site selection at RNA polymerase II promoter	0.22827	0.0948	0.18733	0.51668	0.16543	0.13427	0.46589	0.07603	0.1558	0.11162	0.160615
GO:0008364	pupal chitin-based cuticle development	0.14877	0.1669	0.5663	0.15206	0.16053	0.55394	0.13182	0.16106	0.1595	0.17905	0.160795
GO:0006694	steroid biosynthetic process	0.09542	0.0111	0.18541	0.29098	0.29656	0.07504	0.35469	0.13807	0.1368	0.24874	0.16174
GO:0046486	glycerolipid metabolic process	0.13771	0.066	0.4423	0.12361	0.07938	0.65699	0.29342	0.13648	0.2521	0.18606	0.161885
GO:0048878	chemical homeostasis	0.12449	0.1742	0.18229	0.44318	0.11463	0.17014	0.15387	0.25365	0.105	0.09441	0.162005
GO:0044818	mitotic G2/M transition checkpoint	0.32746	0.6176	0.25466	0.13697	0.17765	0.09217	0.1475	0.4602	0.0215	0.08026	0.162575
GO:0070831	basement membrane assembly	NA	NA	NA	0.16061	NA	NA	0.16459	NA	NA	NA	0.1626
GO:0007111	meiosis II cytokinesis	0.08544	0.1942	0.13867	0.02542	0.07898	0.26437	0.00945	0.61864	0.1887	0.44082	0.163685
GO:0035825	reciprocal DNA recombination	0.07939	0.1748	0.99291	0.15325	0.1306	0.98844	0.99969	0.2238	0.0943	0.11667	0.164025
GO:0045071	negative regulation of viral genome replication	0.11189	0.133	0.09577	0.39229	0.11304	0.0896	0.38345	0.43366	0.1952	0.20165	0.1641
GO:0048525	negative regulation of viral process	0.11189	0.133	0.09577	0.39229	0.11304	0.0896	0.38345	0.43366	0.1952	0.20165	0.1641
GO:1903901	negative regulation of viral life cycle	0.11189	0.133	0.09577	0.39229	0.11304	0.0896	0.38345	0.43366	0.1952	0.20165	0.1641
GO:0016233	telomere capping	0.09641	0.0676	0.17774	0.51321	0.10721	0.1523	0.60521	0.41369	0.4783	0.15228	0.16502
GO:0031102	neuron projection regeneration	0.2968	0.7452	0.01088	0.04527	0.30297	0.03683	0.02699	0.78219	0.1636	0.1679	0.16575
GO:0031103	axon regeneration	0.2968	0.7452	0.01088	0.04527	0.30297	0.03683	0.02699	0.78219	0.1636	0.1679	0.16575
GO:0006119	oxidative phosphorylation	0.15771	0.3649	0.14966	0.14738	0.17433	0.06263	0.88509	0.29026	0.2597	0.05198	0.16602
GO:0008302	"female germline ring canal formation, actin assembly"	0.08009	0.1926	0.13937	0.2575	0.09191	0.13963	0.28382	0.19255	0.4361	0.1374	0.16609
GO:0048599	oocyte development	0.32033	0.2621	0.072	0.12074	0.18429	0.10373	0.13596	0.14868	0.2986	0.38216	0.166485
GO:0061564	axon development	0.0652	0.3348	0.05058	0.18168	0.1124	0.01875	0.27566	0.58086	0.1513	0.2219	0.16649
GO:0000910	cytokinesis	0.15231	0.1121	0.07369	0.11664	0.18094	0.2262	0.37061	0.07329	0.3095	0.60734	0.166625
GO:0042044	fluid transport	0.40969	0.0848	0.07264	0.28779	0.21426	0.16492	0.35028	0.0577	0.1699	0.07715	0.16741
GO:0007448	"anterior/posterior pattern specification, imaginal disc"	0.11293	0.1888	0.82105	0.14686	0.13704	0.851	0.13942	0.1431	0.2364	0.20279	0.16783
GO:0010948	negative regulation of cell cycle process	0.15011	0.5372	0.12954	0.18587	0.10946	0.02821	0.2682	0.32527	0.5277	0.01968	0.16799
GO:0051247	positive regulation of protein metabolic process	0.33426	0.3501	0.06341	0.07531	0.11775	0.13408	0.19111	0.31031	0.146	0.51476	0.168555
GO:0010646	regulation of cell communication	0.15263	0.1269	0.07969	0.18532	0.11215	0.04143	0.26818	0.1965	0.1846	0.30406	0.168615
GO:0023051	regulation of signaling	0.15263	0.1269	0.07969	0.18532	0.11215	0.04143	0.26818	0.1965	0.1846	0.30406	0.168615
