### Overlap of differentially expressed genes in each sex-asex comparison when mapped to different species transcriptomes
# Intersections	= species pairs compared = Tbi = T. bartmani - T. tahoe; Tce = T. cristinae - T. monikensis; Tps = T. poppensis - T. douglasi; Tcm = T. californicum - T. shepardi; Tpa = T. podura - T. genevievae
# Tissue = Tissue used. WB = whole-body, RT = reproductive tract, LG = Legs
# Degree = number of sets overlapping
# toTbi_Observed.Overlap = observed overlap between sets using T. bartmani reference transcriptome
# toTbi_Expected.Overlap = expected overlap between sets using T. bartmani reference transcriptome
# toTbi_FE = fisher exact test using T. bartmani reference transcriptome
# toTbi_P.value = p value using T. bartmani reference transcriptome
# toTbi_FDR_BH = FDR using T. bartmani reference transcriptome
# toTce_Observed.Overlap = observed overlap between sets using T. cristinae reference transcriptome
# toTce_Expected.Overlap = expected overlap between sets using T. cristinae reference transcriptome
# toTce_FE = fisher exact test using T. cristinae reference transcriptome
# toTce_P.value = p value using T. cristinae reference transcriptome
# toTce_FDR_BH = FDR using T. cristinae reference transcriptome
# toTcm_Observed.Overlap = observed overlap between sets using T. californicum reference transcriptome
# toTcm_Expected.Overlap = expected overlap between sets using T. californicum reference transcriptome
# toTcm_FE = fisher exact test using T. californicum reference transcriptome
# toTcm_P.value = p value using T. californicum reference transcriptome
# toTcm_FDR_BH = FDR using T. californicum reference transcriptome
# toTdi_Observed.Overlap = observed overlap between sets using T. douglasi reference transcriptome
# toTdi_Expected.Overlap = expected overlap between sets using T. douglasi reference transcriptome
# toTdi_FE = fisher exact test using T. douglasi reference transcriptome
# toTdi_P.value = p value using T. douglasi reference transcriptome
# toTdi_FDR_BH = FDR using T. douglasi reference transcriptome
# toTge_Observed.Overlap = observed overlap between sets using T. genevievae reference transcriptome
# toTge_Expected.Overlap = expected overlap between sets using T. genevievae reference transcriptome
# toTge_FE = fisher exact test using T. genevievae reference transcriptome
# toTge_P.value = p value using T. genevievae reference transcriptome
# toTge_FDR_BH = FDR using T. genevievae reference transcriptome
# toTms_Observed.Overlap = observed overlap between sets using T. monikensis reference transcriptome
# toTms_Expected.Overlap = expected overlap between sets using T. monikensis reference transcriptome
# toTms_FE = fisher exact test using T. monikensis reference transcriptome
# toTms_P.value = p value using T. monikensis reference transcriptome
# toTms_FDR_BH = FDR using T. monikensis reference transcriptome
# toTpa_Observed.Overlap = observed overlap between sets using T. podura reference transcriptome
# toTpa_Expected.Overlap = expected overlap between sets using T. podura reference transcriptome
# toTpa_FE = fisher exact test using T. podura reference transcriptome
# toTpa_P.value = p value using T. podura reference transcriptome
# toTpa_FDR_BH = FDR using T. podura reference transcriptome
# toTps_Observed.Overlap = observed overlap between sets using T. poppensis reference transcriptome
# toTps_Expected.Overlap = expected overlap between sets using T. poppensis reference transcriptome
# toTps_FE = fisher exact test using T. poppensis reference transcriptome
# toTps_P.value = p value using T. poppensis reference transcriptome
# toTps_FDR_BH = FDR using T. poppensis reference transcriptome
# toTsi_Observed.Overlap = observed overlap between sets using T. shepardi reference transcriptome
# toTsi_Expected.Overlap = expected overlap between sets using T. shepardi reference transcriptome
# toTsi_FE = fisher exact test using T. shepardi reference transcriptome
# toTsi_P.value = p value using T. shepardi reference transcriptome
# toTsi_FDR_BH = FDR using T. shepardi reference transcriptome
# toTte_Observed.Overlap = observed overlap between sets using T. tahoe reference transcriptome
# toTte_Expected.Overlap = expected overlap between sets using T. tahoe reference transcriptome
# toTte_FE = fisher exact test using T. tahoe reference transcriptome
# toTte_P.value = p value using T. tahoe reference transcriptome
# toTte_FDR_BH = FDR using T. tahoe reference transcriptome
Intersections	Tissue	Degree	toTbi_Observed.Overlap	toTbi_Expected.Overlap	toTbi_FE	toTbi_P.value	toTbi_FDR_BH	toTce_Observed.Overlap	toTce_Expected.Overlap	toTce_FE	toTce_P.value	toTce_FDR_BH	toTcm_Observed.Overlap	toTcm_Expected.Overlap	toTcm_FE	toTcm_P.value	toTcm_FDR_BH	toTdi_Observed.Overlap	toTdi_Expected.Overlap	toTdi_FE	toTdi_P.value	toTdi_FDR_BH	toTge_Observed.Overlap	toTge_Expected.Overlap	toTge_FE	toTge_P.value	toTge_FDR_BH	toTms_Observed.Overlap	toTms_Expected.Overlap	toTms_FE	toTms_P.value	toTms_FDR_BH	toTpa_Observed.Overlap	toTpa_Expected.Overlap	toTpa_FE	toTpa_P.value	toTpa_FDR_BH	toTps_Observed.Overlap	toTps_Expected.Overlap	toTps_FE	toTps_P.value	toTps_FDR_BH	toTsi_Observed.Overlap	toTsi_Expected.Overlap	toTsi_FE	toTsi_P.value	toTsi_FDR_BH	toTte_Observed.Overlap	toTte_Expected.Overlap	toTte_FE	toTte_P.value	toTte_FDR_BH
Tcm & Tce	GN	2	111	110.6176266	1.003456713	0.501170359	0.566540406	63	65.34096601	0.964173073	0.646102009	0.646102009	60	57.03490554	1.051987365	0.352703037	0.366811158	83	68.82026303	1.206040145	0.033908978	0.04640176	92	81.71022803	1.125930036	0.10849886	0.117540432	62	58.33301367	1.062862967	0.320165594	0.332972218	80	78.39555203	1.020466059	0.438796583	0.456348447	88	71.52804079	1.230286738	0.018668522	0.025546398	62	55.01592676	1.126946389	0.164451385	0.194351636	117	111.0396496	1.053677677	0.273923879	0.273923879
Tcm & Tpa	GN	2	182	142.1929216	1.279951196	6.72E-05	0.00059037	167	136.7957066	1.220798548	0.001395876	0.003629278	112	88.8612536	1.260391852	0.00265467	0.008627677	141	107.6799805	1.309435601	0.00011112	0.000722277	121	90.76383518	1.333130093	0.000220286	0.000628386	173	135.8397267	1.273559688	0.000109769	0.000407713	115	89.84908658	1.279923975	0.001616974	0.003503444	156	115.0531682	1.355894865	5.50E-06	7.15E-05	121	90.63217958	1.335066646	0.000135926	0.000504868	176	140.6966344	1.250918338	0.000338829	0.001761909
Tpa & Tbi	GN	2	135	104.9857738	1.285888508	0.000477589	0.002483461	203	170.6103757	1.189845572	0.001828305	0.004321448	203	174.658326	1.162269241	0.005839837	0.012697754	235	193.6117876	1.213769073	0.000206573	0.0010298	116	89.7010268	1.293184751	0.001040873	0.001691419	222	180.4243587	1.230432529	0.000133242	0.000433036	121	94.9833201	1.273907881	0.001484348	0.003503444	233	186.4287448	1.249807267	2.70E-05	0.000163126	201	172.0161776	1.168494748	0.004543177	0.008437328	132	106.9201245	1.234566464	0.003124087	0.008122627
Tps & Tbi	GN	2	53	43.24450613	1.225589208	0.067051182	0.11189367	83	53.13703041	1.561999219	1.90E-05	9.90E-05	69	50.57475291	1.364317096	0.004164021	0.011580349	62	41.42474428	1.496689988	0.000708076	0.001840998	57	33.65195359	1.693809539	4.34E-05	0.000375875	81	56.65739631	1.429645647	0.000488278	0.001269523	55	36.91183479	1.490037012	0.001538155	0.003503444	53	40.53168245	1.307619048	0.024485594	0.028872736	67	45.80022573	1.462874886	0.000812957	0.001921535	50	42.32365145	1.181372549	0.118492734	0.146705289
Tps & Tce	GN	2	198	155.6021282	1.27247617	6.81E-05	0.00059037	118	81.85974955	1.441489873	1.43E-05	9.27E-05	138	96.86100338	1.424721975	3.42E-06	8.89E-05	112	78.99074525	1.417887623	3.67E-05	0.000317724	136	114.432591	1.188472609	0.012320499	0.015253951	114	76.47111005	1.490759058	4.25E-06	3.20E-05	147	117.2200159	1.25405204	0.001111494	0.003210983	112	78.97887837	1.418100666	3.76E-05	0.000163126	137	89.98231753	1.522521355	6.80E-08	1.77E-06	195	147.0723836	1.325877743	5.33E-06	7.60E-05
Tps & Tcm	GN	2	71	58.5704372	1.21221564	0.047165656	0.087593361	78	42.60536673	1.830755278	6.66E-08	1.73E-06	47	25.73101464	1.826589455	3.37E-05	0.000437501	40	23.03896736	1.736188926	0.000405597	0.001171724	58	34.05067342	1.703343698	3.14E-05	0.000375875	72	42.65679693	1.687890446	4.92E-06	3.20E-05	54	34.91660048	1.546542311	0.000712109	0.002644977	46	25.01383831	1.838982064	3.69E-05	0.000163126	47	24.13130173	1.947677772	6.20E-06	4.03E-05	72	55.69386814	1.292781457	0.012549406	0.01919321
Tps & Tpa	GN	2	226	200.018043	1.129898066	0.015755272	0.051204633	205	171.3788909	1.19617999	0.001303676	0.003629278	185	150.9109221	1.225888739	0.000612364	0.002653578	136	123.5932781	1.100383468	0.099934517	0.108262393	164	127.1118816	1.29020197	0.000110607	0.000479298	226	178.0777991	1.269108228	1.22E-05	6.33E-05	161	134.3457771	1.198400155	0.00448098	0.006853264	146	127.0378733	1.149263572	0.025541266	0.028872736	192	148.2351392	1.295239449	1.36E-05	7.05E-05	238	186.3531581	1.277144978	5.84E-06	7.60E-05
Tce & Tpa & Tbi	GN	3	37	19.35546188	1.911605119	0.000137741	0.000895318	36	20.87611752	1.724458581	0.001179812	0.003629278	46	28.62534807	1.60696736	0.001123201	0.00417189	42	32.81875406	1.279756078	0.061410596	0.076032166	27	17.16508514	1.572960447	0.014127876	0.015970642	38	20.20095313	1.88109936	0.000165592	0.000478377	26	17.72921384	1.466506086	0.033998376	0.040179899	39	30.86778441	1.263453168	0.080262374	0.086950905	36	27.59075635	1.304784818	0.063423349	0.082450354	40	19.65624695	2.034976468	1.88E-05	0.000155259
Tcm & Tce & Tbi	GN	3	8	5.667778002	1.411487888	0.209535607	0.259425037	8	5.189872792	1.5414636	0.151740054	0.157809656	8	4.880755085	1.639090645	0.118686414	0.146945084	10	6.117729178	1.634593443	0.08946218	0.101131159	13	4.598175254	2.827208465	0.000820178	0.001421642	5	4.838940956	1.033283945	0.532355894	0.532355894	12	4.60784023	2.604256962	0.002543353	0.005086705	13	6.077886447	2.138901428	0.00883039	0.013505302	6	4.491518475	1.335851123	0.294618735	0.319170296	9	5.874504284	1.532044163	0.13742193	0.162407736
Tcm & Tce & Tpa	GN	3	36	26.21507252	1.373255785	0.034779952	0.076309195	29	16.73850865	1.732531889	0.00317736	0.005507425	20	14.56377358	1.373270457	0.095554358	0.124220665	28	18.25262212	1.53402617	0.016970556	0.027022903	29	17.36846293	1.669692944	0.005140695	0.007034635	24	15.2090991	1.578002736	0.019619955	0.030012294	24	16.77087796	1.431052093	0.050910136	0.057550589	32	19.04983266	1.679804782	0.00308845	0.005353314	26	14.53706517	1.78853157	0.003202214	0.006938131	39	25.86573673	1.507786166	0.007454332	0.012920841
Tcm & Tpa & Tbi	GN	3	20	7.285619276	2.745133837	5.41E-05	0.00059037	20	10.86534772	1.840714216	0.007041782	0.010171463	16	7.604290937	2.104075203	0.00445398	0.011580349	27	9.572136602	2.820686867	1.58E-06	4.11E-05	15	5.107659481	2.936765863	0.000221852	0.000628386	19	11.26841176	1.686129369	0.019623423	0.030012294	17	5.28104242	3.219061437	2.78E-05	0.000360806	27	9.776307086	2.76177904	2.37E-06	6.16E-05	20	7.399241147	2.702979887	6.40E-05	0.00027737	21	7.443494143	2.821255662	2.39E-05	0.000155259
Tps & Tce & Tbi	GN	3	14	7.972674389	1.755997965	0.031141659	0.076309195	15	6.501919285	2.307011106	0.002599555	0.004827745	15	8.288868549	1.809655915	0.02090464	0.036234709	18	7.021827086	2.563435382	0.000295799	0.0010298	13	6.439599067	2.018759221	0.0136371	0.015970642	13	6.343563672	2.049321276	0.012381942	0.021462033	14	6.889818249	2.031983935	0.010179198	0.013929429	16	6.710999619	2.384145568	0.001346021	0.002499753	18	7.346186194	2.450250991	0.000505176	0.001637516	15	7.780800376	1.927822239	0.012541029	0.01919321
Tps & Tce & Tpa	GN	3	46	36.87586868	1.247428241	0.073161246	0.11189367	46	20.97015409	2.1935938	6.44E-07	8.37E-06	45	24.73330513	1.819409083	8.77E-05	0.000760023	38	20.95005396	1.81383781	0.000316861	0.0010298	43	24.32398321	1.767802569	0.00023332	0.000628386	45	19.93822397	2.256971337	3.93E-07	5.11E-06	46	25.07645561	1.834390024	6.08E-05	0.000439776	36	21.03419023	1.711499212	0.001283786	0.002499753	50	23.77636607	2.102928591	6.57E-07	8.54E-06	53	34.25925395	1.547027267	0.001175673	0.004366784
Tps & Tcm & Tbi	GN	3	6	3.001006671	1.999329111	0.082531755	0.119212535	10	3.384039862	2.955047934	0.002387883	0.004827745	5	2.201928439	2.270736829	0.07145798	0.103217082	7	2.0480329	3.417913843	0.004837714	0.008984325	8	1.916173381	4.174987545	0.000757517	0.001406818	7	3.538540335	1.978216817	0.066706887	0.086969688	6	2.052286287	2.923568723	0.017825792	0.02317353	11	2.125477885	5.175306729	1.18E-05	0.000102419	5	1.970087463	2.537958388	0.048943558	0.066975396	6	2.946459829	2.036342034	0.077178924	0.111480668
Tps & Tcm & Tce	GN	3	10	10.79820459	0.926079879	0.640802066	0.694202238	11	5.213250598	2.11000791	0.016862279	0.021920962	9	4.217143648	2.134145941	0.02707572	0.043998045	10	3.905290133	2.560629213	0.006370014	0.011041358	15	6.515897635	2.302061948	0.002584278	0.003952425	12	4.776006753	2.512559261	0.003460509	0.006921019	12	6.517395641	1.84122626	0.03230474	0.039996345	12	4.141645479	2.897399128	0.0010609	0.002298617	8	3.870571221	2.066878387	0.04208828	0.060794183	14	10.23878742	1.367349416	0.149834703	0.169378359
Tps & Tcm & Tpa	GN	3	24	13.88050264	1.729044014	0.00718038	0.031114981	29	10.91429072	2.657066843	2.22E-06	1.93E-05	17	6.570374187	2.587371665	0.000374085	0.001945243	15	6.110432406	2.454818089	0.001382102	0.002994554	18	7.237868174	2.486920122	0.000412333	0.000974604	31	11.12185727	2.787304247	3.56E-07	5.11E-06	16	7.469582522	2.142020649	0.003797816	0.006395572	18	6.661854971	2.701950144	0.00015112	0.000436569	21	6.376304583	3.293443675	2.17E-06	1.88E-05	25	12.97341027	1.927018377	0.001533456	0.004983732
Tps & Tpa & Tbi	GN	3	15	10.24843778	1.463637709	0.09289533	0.127119925	26	13.61220529	1.910050536	0.00139582	0.003629278	27	12.91418375	2.090724472	0.000289442	0.001881374	23	10.98673807	2.093432996	0.00077939	0.001842195	25	7.153115619	3.494980555	7.88E-08	2.05E-06	27	14.77221733	1.8277554	0.002122395	0.004598523	22	7.896415809	2.786074155	1.82E-05	0.000360806	18	10.79467241	1.667489232	0.024952698	0.028872736	25	12.10196584	2.065780083	0.000568791	0.001637516	19	9.85893264	1.927186308	0.005337396	0.010674792
Tcm & Tce & Tpa & Tbi	GN	4	5	1.343196522	3.722463481	0.011832459	0.043949132	5	1.329498719	3.760815959	0.011377904	0.015569764	3	1.246293147	2.407138325	0.130152749	0.148325274	5	1.622554086	3.081561376	0.024436482	0.03529714	7	0.977395833	7.161888521	6.62E-05	0.000379307	3	1.261651472	2.37783577	0.133670183	0.157973853	7	0.985738657	7.101273703	6.99E-05	0.000439776	5	1.618703917	3.088891025	0.024229316	0.028872736	4	1.186810814	3.37037711	0.032147983	0.049167503	7	1.368415532	5.115405251	0.000511812	0.002217854
Tps & Tce & Tpa & Tbi	GN	4	5	1.889429774	2.646301053	0.042552798	0.085105596	9	1.665607946	5.403432437	5.57E-05	0.000241468	7	2.116549569	3.307269577	0.005860502	0.012697754	10	1.862340404	5.369587633	2.26E-05	0.00029412	7	1.368811963	5.113923743	0.00051018	0.001089203	9	1.65395001	5.441518754	5.28E-05	0.000228949	6	1.473913991	4.070793842	0.003935737	0.006395572	6	1.787318908	3.356983454	0.009735817	0.014062846	7	1.941110398	3.606183352	0.003691861	0.007383722	7	1.812470904	3.862130965	0.002541784	0.007342931
Tps & Tcm & Tce & Tbi	GN	4	0	0.553273726	0	1	1	2	0.414075718	4.830034488	0.065182779	0.077034193	2	0.360881553	5.541984571	0.051195241	0.078298605	2	0.347158037	5.761064958	0.047795594	0.062134273	4	0.36667673	10.9087915	0.000544601	0.001089203	2	0.396187566	5.048114007	0.060355589	0.086969688	3	0.383071706	7.831431963	0.00694814	0.010036202	4	0.351924233	11.36608287	0.00046849	0.001107341	1	0.315994716	3.16460988	0.271178253	0.30654933	2	0.541678588	3.692226433	0.1028855	0.139460043
Tps & Tcm & Tce & Tpa	GN	4	3	2.559047098	1.172311367	0.471898159	0.557697824	6	1.335487452	4.492741577	0.002445094	0.004827745	3	1.076841009	2.78592659	0.094427106	0.124220665	5	1.035767403	4.827338636	0.004097661	0.008195322	6	1.385030115	4.332035771	0.002909034	0.004201937	6	1.24524271	4.818337784	0.001728209	0.004084858	6	1.394242965	4.303410633	0.00300537	0.005581401	7	1.103031097	6.346149276	0.00013993	0.000436569	6	1.022735586	5.86661898	0.000629814	0.001637516	4	2.385037965	1.67712215	0.217586971	0.235719219
Tps & Tcm & Tpa & Tbi	GN	4	3	0.711203177	4.218203879	0.035219628	0.076309195	3	0.866895363	3.460625269	0.057130154	0.070732572	3	0.56225897	5.335619639	0.019327651	0.036019822	3	0.543182618	5.523004423	0.017668821	0.027022903	3	0.407305023	7.365487359	0.008205755	0.010667482	2	0.922599524	2.167787808	0.235730378	0.255374576	4	0.43903821	9.110824314	0.001059832	0.003210983	5	0.566071678	8.832803686	0.000289436	0.000752535	2	0.520563617	3.841989593	0.09625748	0.119175927	4	0.686352618	5.827908126	0.005262518	0.010674792
Tps & Tcm & Tce & Tpa & Tbi	GN	5	0	0.131119346	0	1	1	2	0.106074495	18.85467373	0.005217092	0.007979081	0	0.092150538	0	1	1	1	0.092073819	10.86085065	0.087987915	0.101131159	3	0.07794142	38.49044579	7.29E-05	0.000379307	2	0.103297525	19.36154807	0.004956289	0.009204536	3	0.08194915	36.60806748	8.46E-05	0.000439776	2	0.093726847	21.33860316	0.004103629	0.006668397	0	0.083496472	0	1	1	2	0.126179394	15.85044856	0.007286422	0.012920841
Tbi	LG	1	1485	NA	NA	NA	NA	1527	NA	NA	NA	NA	1441	NA	NA	NA	NA	1437	NA	NA	NA	NA	1305	NA	NA	NA	NA	1497	NA	NA	NA	NA	1324	NA	NA	NA	NA	1439	NA	NA	NA	NA	1421	NA	NA	NA	NA	1479	NA	NA	NA	NA
Tce	LG	1	1128	NA	NA	NA	NA	778	NA	NA	NA	NA	943	NA	NA	NA	NA	945	NA	NA	NA	NA	842	NA	NA	NA	NA	802	NA	NA	NA	NA	875	NA	NA	NA	NA	910	NA	NA	NA	NA	932	NA	NA	NA	NA	1109	NA	NA	NA	NA
Tcm	LG	1	804	NA	NA	NA	NA	685	NA	NA	NA	NA	547	NA	NA	NA	NA	602	NA	NA	NA	NA	574	NA	NA	NA	NA	676	NA	NA	NA	NA	601	NA	NA	NA	NA	599	NA	NA	NA	NA	518	NA	NA	NA	NA	777	NA	NA	NA	NA
Tpa	LG	1	1744	NA	NA	NA	NA	1634	NA	NA	NA	NA	1780	NA	NA	NA	NA	1728	NA	NA	NA	NA	1468	NA	NA	NA	NA	1702	NA	NA	NA	NA	1482	NA	NA	NA	NA	1749	NA	NA	NA	NA	1789	NA	NA	NA	NA	1776	NA	NA	NA	NA
Tps	LG	1	1529	NA	NA	NA	NA	1383	NA	NA	NA	NA	1321	NA	NA	NA	NA	1179	NA	NA	NA	NA	1326	NA	NA	NA	NA	1371	NA	NA	NA	NA	1373	NA	NA	NA	NA	1198	NA	NA	NA	NA	1363	NA	NA	NA	NA	1529	NA	NA	NA	NA
Tce & Tbi	LG	2	254	221.4835383	1.146812093	0.005074595	0.018848495	206	166.3175136	1.238594755	0.000189094	0.001638811	217	178.048087	1.21877187	0.000402902	0.001163938	207	182.1304989	1.136547702	0.016674114	0.036127248	197	166.4863636	1.183280094	0.003094306	0.010276915	208	169.0025338	1.230750778	0.000261902	0.002269818	200	174.6833534	1.144928787	0.012961457	0.026953299	198	175.2294928	1.129946773	0.02394024	0.054487335	207	173.0978957	1.195855092	0.001587372	0.003751971	246	216.1585398	1.13805358	0.008640706	0.028082293
Tce & Tpa	LG	2	308	260.1126537	1.184102333	0.000173154	0.001500665	206	177.9717206	1.157487265	0.00697547	0.020151359	271	219.9344864	1.232185113	2.26E-05	0.000182312	215	219.0128755	0.981677445	0.643385342	0.643385342	215	187.2812121	1.148006239	0.008481987	0.022053165	216	192.1458333	1.124146156	0.020993618	0.049621279	229	195.5292521	1.171180258	0.002308247	0.012002885	224	212.9787234	1.051748252	0.189349573	0.214047343	259	217.9254999	1.18847955	0.00048463	0.001651135	306	259.5656299	1.178892599	0.000255031	0.003315408
Tcm & Tbi	LG	2	171	157.8659262	1.083197648	0.118271111	0.196027896	149	146.4363713	1.017506776	0.417032982	0.471428589	126	103.2792191	1.219993733	0.006735184	0.01030087	122	116.0238734	1.051507732	0.275539474	0.325637561	146	113.4954545	1.28639513	0.000313669	0.001631078	157	142.4510135	1.102133261	0.082864086	0.113392959	142	119.982509	1.183505839	0.011660724	0.026953299	125	115.3433695	1.083720725	0.161180119	0.198238016	115	96.20677036	1.19534207	0.017600526	0.022880684	169	151.447417	1.11589886	0.052828075	0.085945496
Tcm & Tce	LG	2	140	119.9143197	1.167500265	0.02155842	0.064437255	86	74.60870783	1.152680465	0.081846957	0.106401044	82	67.58660901	1.213258088	0.032643626	0.03690149	102	76.29962446	1.336834889	0.000930295	0.01709578	85	73.22848485	1.160750495	0.071951919	0.101082248	92	76.31644144	1.205506943	0.028291794	0.049664429	95	79.2935766	1.198079391	0.029315472	0.047637642	95	72.94125519	1.302417949	0.003214283	0.016714274	75	63.09972553	1.188594711	0.058754069	0.066722288	121	113.5599631	1.065516373	0.22711228	0.256735621
Tcm & Tpa	LG	2	207	185.3994447	1.116508199	0.031855771	0.075295458	164	156.6974661	1.046602757	0.256306225	0.302907357	142	127.5759958	1.113062055	0.073153483	0.073153483	165	139.5193133	1.182631968	0.006570094	0.018980272	147	127.6715152	1.151392304	0.025226348	0.046848932	167	161.9583333	1.031129406	0.33155939	0.374806267	161	134.3006634	1.198802715	0.004066217	0.015103092	156	140.1914894	1.112763697	0.062919239	0.109060013	135	121.1216834	1.114581602	0.076343539	0.0827055	195	181.8597786	1.072254687	0.129488464	0.16031905
Tpa & Tbi	LG	2	415	342.4355415	1.211906913	5.47E-07	1.42E-05	403	349.3095338	1.153704554	0.000150487	0.001638811	402	336.0822851	1.196135642	4.15E-06	5.39E-05	374	333.0386266	1.122992861	0.00263012	0.01709578	367	290.2636364	1.264367816	1.40E-08	3.65E-07	413	358.65625	1.151520432	0.000141279	0.001836632	380	295.8636912	1.284375242	7.83E-10	2.03E-08	383	336.787234	1.137216501	0.000856967	0.011140565	383	332.2662397	1.152690085	0.000281108	0.001249148	428	346.1655245	1.236402731	2.26E-08	5.88E-07
Tps & Tbi	LG	2	317	300.2201507	1.055891815	0.120632552	0.196027896	352	295.651827	1.190589632	2.92E-05	0.000760494	292	249.41837	1.170723712	0.00067002	0.001583685	260	227.2294796	1.144217733	0.005133002	0.018980272	304	262.1863636	1.159480592	0.00082341	0.003568111	341	288.9058277	1.180315408	8.84E-05	0.001836632	304	274.1031363	1.109071586	0.013476649	0.026953299	268	230.6867389	1.161748617	0.001840661	0.015893798	302	253.1463861	1.192985626	0.000128715	0.00098398	325	298.0220084	1.090523488	0.028594339	0.059584935
Tps & Tce	LG	2	238	228.0460135	1.043649027	0.222972336	0.289864037	167	150.6333473	1.108652254	0.064818235	0.09362634	198	163.221043	1.21307888	0.000998369	0.001996738	182	149.4306599	1.217956209	0.001357454	0.01709578	178	169.1654545	1.052224288	0.220568437	0.249338233	173	154.7778716	1.117730837	0.047396023	0.068460922	194	181.1482207	1.070946207	0.134620554	0.159097019	171	145.8825104	1.172176154	0.009687941	0.03148581	207	166.0326755	1.246742543	0.000151382	0.00098398	237	223.4661307	1.060563403	0.145630757	0.172109076
Tps & Tcm	LG	2	175	162.5434351	1.0766353	0.133695834	0.204475982	152	132.6270475	1.146070903	0.028820336	0.053523482	120	94.67859015	1.267445996	0.002263162	0.003922814	119	95.19286481	1.250093694	0.004000004	0.018980272	133	115.3218182	1.153294338	0.032014399	0.055491625	150	130.4611486	1.149767586	0.026891463	0.049664429	149	124.4229493	1.197528276	0.006209352	0.017938129	115	96.02596012	1.197592816	0.017475203	0.045435528	121	92.2799634	1.311227221	0.000562166	0.001651135	174	156.5673432	1.111342867	0.056195132	0.085945496
Tps & Tpa	LG	2	346	352.5817797	0.981332615	0.683871646	0.683871646	343	316.3687526	1.084177869	0.031894866	0.055284435	334	308.0948637	1.084081688	0.035260044	0.038198381	288	273.2446352	1.054000565	0.141927299	0.175719513	320	294.9345455	1.084986499	0.035479732	0.057654564	341	328.46875	1.038150509	0.198086734	0.234102504	317	306.8133293	1.033201526	0.239877219	0.259866988	298	280.3829787	1.062831993	0.101690746	0.146886634	354	318.7043524	1.110747303	0.007401476	0.011877001	368	357.868213	1.028311503	0.256850404	0.278254604
Tce & Tpa & Tbi	LG	3	71	51.0732898	1.390159128	0.003113066	0.018848495	60	38.0460335	1.577036933	0.000328842	0.002137471	75	41.52589031	1.806102155	5.35E-07	1.39E-05	61	42.2105019	1.445137993	0.002535173	0.01709578	64	37.03060331	1.728300224	1.41E-05	0.000183492	59	40.49019039	1.457143062	0.002408658	0.009221787	64	39.03509195	1.639550384	6.91E-05	0.000897664	67	41.0111579	1.63370174	5.46E-05	0.001420184	57	40.47472689	1.408286217	0.005923524	0.01100083	74	50.59272097	1.462661003	0.000664918	0.005762625
Tcm & Tce & Tbi	LG	3	37	23.54525516	1.571441879	0.004831699	0.018848495	28	15.94953057	1.755537561	0.003102119	0.011522156	26	12.76104607	2.037450524	0.000552707	0.001437038	24	14.70527902	1.632066959	0.01372599	0.032443249	26	14.4792686	1.795670812	0.003162128	0.010276915	30	16.08188525	1.865452932	0.000889638	0.004626116	21	15.83002042	1.326593362	0.116606011	0.144369347	23	14.04555951	1.637528216	0.015090869	0.043595844	20	11.71934518	1.706579992	0.015139438	0.020717126	31	22.13431542	1.400540266	0.038532059	0.071559539
Tcm & Tce & Tpa	LG	3	50	27.65180135	1.808200463	4.34E-05	0.00056381	25	17.06714666	1.464802553	0.037941332	0.061654664	24	15.76312422	1.522540815	0.028331195	0.033482321	25	17.68317477	1.41377328	0.053359539	0.081608706	26	16.28779027	1.596287745	0.013522269	0.031961728	31	18.28414743	1.69545778	0.003192157	0.009221787	27	17.71910141	1.523779304	0.020600616	0.038258287	23	17.0713576	1.347285936	0.092549242	0.141545899	22	14.75433394	1.491087303	0.042000911	0.052001128	40	26.57913738	1.504939736	0.007014147	0.028082293
Tcm & Tpa & Tbi	LG	3	43	36.4033023	1.181211519	0.146291598	0.208606336	31	33.49811433	0.925425225	0.69933927	0.69933927	35	24.08765854	1.453026244	0.017835222	0.024406093	35	26.88965306	1.301615901	0.067976947	0.093021086	38	25.2441405	1.505299814	0.008150826	0.022053165	34	34.12888865	0.996223473	0.534927531	0.556324632	45	26.81153173	1.678382289	0.000497694	0.003235009	37	26.99525668	1.370611157	0.033191188	0.066382377	28	22.49561001	1.244687296	0.138355001	0.143889201	51	35.44683876	1.438774282	0.00598075	0.028082293
Tps & Tce & Tbi	LG	3	43	44.776984	0.96031479	0.631961179	0.657239626	50	32.20175296	1.552710502	0.001435854	0.006222034	45	30.81780961	1.460194627	0.007530517	0.010877413	43	28.79987369	1.493062104	0.006116729	0.018980272	44	33.44862397	1.315450227	0.039003543	0.059652477	49	32.61577616	1.502340455	0.003089524	0.009221787	44	36.16408991	1.216676546	0.103521508	0.141661011	39	28.09111902	1.388339139	0.025148001	0.054487335	46	30.83680981	1.491723699	0.004757902	0.009958544	46	43.55645853	1.056100554	0.37152739	0.386388486
Tps & Tce & Tpa	LG	3	64	52.58657246	1.21704072	0.059671451	0.129288143	43	34.45819537	1.247888914	0.07981581	0.106401044	63	38.0678009	1.654941933	6.44E-05	0.000335002	45	34.63199843	1.299376358	0.044496941	0.072307528	41	37.62649807	1.089657611	0.305665382	0.317891997	49	37.08219841	1.321388755	0.028652555	0.049664429	49	40.47974414	1.210481959	0.095540427	0.138002839	44	34.14271519	1.288708287	0.051823462	0.096243572	60	38.82269722	1.545487673	0.000571547	0.001651135	70	52.30309017	1.338353045	0.007924847	0.028082293
